datetime,temp,feelslike,dew,humidity,precip,precipprob,windspeed,winddir,windgust,sealevelpressure,cloudcover,visibility,solarradiation,uvindex,PM25_Idgah_Hills,PM10_Idgah_Hills,NO_Idgah_Hills,SO2_Idgah_Hills,CO_Idgah_Hills,O3_Idgah_Hills,Benzene_Idgah_Hills,NO2_Idgah_Hills,NH3_Idgah_Hills,PM25_TT_Nagar,PM10_TT_Nagar,NO_TT_Nagar,SO2_TT_Nagar,CO_TT_Nagar,O3_TT_Nagar,NO2_TT_Nagar,NH3_TT_Nagar,PM25_Paryavaran_Parisar,PM10_Paryavaran_Parisar,NO_Paryavaran_Parisar,SO2_Paryavaran_Parisar,CO_Paryavaran_Parisar,O3_Paryavaran_Parisar,Benzene_Paryavaran_Parisar,NO2_Paryavaran_Parisar,NH3_Paryavaran_Parisar,year,month,day,hour,dayofweek,hour_sin,hour_cos,month_sin,month_cos
2025-06-13 06:00:00,87.9,96.4,73.8,63.27,0.0,0.0,8.3,192.8,16.1,1001.0,10.0,3.1,0.0,0.0,31.9885401348816,44.52578930627711,2.594555872604653,9.947192102557956,0.6361318114976652,18.188167066947553,0.5059312408092895,19.09212030553494,17.677077503906773,29.461319497904867,65.08272386150435,1.5195128865860572,8.74736404663234,0.8223495950325218,30.258280651451383,21.72650451065085,28.242953058806716,22.206305230695474,55.50716587301953,1.1311747975162612,10.211203331935039,0.38802291973023684,32.59951242560999,0.44799429311624434,10.734670932231907,8.848424153302203,2025,6,13,6,4,1.0,6.123233995736766e-17,1.2246467991473532e-16,-1.0
2025-06-13 07:00:00,87.3,95.5,73.7,63.97,0.0,0.0,8.5,194.2,15.0,1002.0,0.0,3.1,35.7,0.0,32.10440647026013,44.63270233392185,2.594450539572491,9.957198740613375,0.6366374100520442,18.258171400122617,0.5066264388215608,19.089065647602233,17.688242805315976,29.576659168122585,65.22614531809654,1.5189230216059484,8.759308812479544,0.8243298560371731,30.246251619178448,21.74346312882898,28.384057188691333,22.326384887360497,55.71045862509277,1.1321649280185866,10.202713489542758,0.3877911870594798,32.56216133240524,0.4498902876951657,10.770168164070602,8.855165467360589,2025,6,13,7,4,0.9659258262890683,-0.25881904510252063,1.2246467991473532e-16,-1.0
2025-06-13 08:00:00,88.0,91.9,68.3,52.15,0.0,0.0,8.0,180.0,17.0,1001.2,24.4,3.7,183.3,2.0,32.22027280563866,44.73961536156658,2.5943452065403285,9.967205378668794,0.6371430086064233,18.328175733297684,0.5073216368338319,19.08601098966953,17.69940810672518,29.691998838340304,65.36956677468872,1.5183331566258396,8.77125357832675,0.8263101170418243,30.234222586905513,21.760421747007115,28.525161318575954,22.446464544025517,55.91375137716601,1.1331550585209123,10.194223647150476,0.38755945438872275,32.524810239200484,0.4517862822740871,10.805665395909298,8.861906781418977,2025,6,13,8,4,0.8660254037844387,-0.4999999999999998,1.2246467991473532e-16,-1.0
2025-06-13 09:00:00,91.5,94.4,66.3,43.66,0.0,0.0,9.2,180.0,18.1,1005.0,25.2,3.7,374.7,4.0,32.33613914101719,44.846528389211315,2.594239873508166,9.977212016724213,0.6376486071608023,18.398180066472747,0.5080168348461032,19.08295633173682,17.710573408134383,29.807338508558022,65.51298823128091,1.5177432916457307,8.783198344173954,0.8282903780464757,30.22219355463258,21.777380365185245,28.66626544846057,22.56654420069054,56.117044129239254,1.134145189023238,10.185733804758195,0.38732772171796565,32.487459145995736,0.45368227685300855,10.841162627747993,8.868648095477363,2025,6,13,9,4,0.7071067811865476,-0.7071067811865475,1.2246467991473532e-16,-1.0
2025-06-13 10:00:00,96.9,99.5,64.5,34.71,0.0,0.0,6.9,160.0,19.0,1005.0,25.2,3.7,580.1,6.0,32.45200547639572,44.95344141685605,2.594134540476004,9.98721865477963,0.6381542057151813,18.46818439964781,0.5087120328583743,19.079901673804113,17.721738709543587,29.92267817877574,65.6564096878731,1.5171534266656217,8.79514311002116,0.8302706390511269,30.210164522359644,21.794338983363374,28.807369578345188,22.686623857355563,56.32033688131249,1.1351353195255636,10.177243962365914,0.3870959890472086,32.45010805279098,0.45557827143192997,10.876659859586688,8.875389409535751,2025,6,13,10,4,0.49999999999999994,-0.8660254037844387,1.2246467991473532e-16,-1.0
2025-06-13 11:00:00,97.0,101.1,66.5,37.19,0.0,0.0,5.8,171.0,19.0,999.8,25.2,3.7,745.5,7.0,32.56787181177425,45.06035444450079,2.5940292074438416,9.997225292835049,0.6386598042695604,18.538188732822878,0.5094072308706454,19.076847015871408,17.732904010952794,30.038017848993462,65.79983114446529,1.5165635616855129,8.807087875868364,0.8322509000557781,30.19813549008671,21.811297601541504,28.948473708229805,22.806703514020587,56.52362963338573,1.1361254500278892,10.168754119973633,0.38686425637645155,32.41275695958623,0.4574742660108514,10.912157091425383,8.882130723594138,2025,6,13,11,4,0.258819045102521,-0.9659258262890682,1.2246467991473532e-16,-1.0
2025-06-13 12:00:00,99.6,109.15,73.3,43.26,0.0,0.0,4.9,207.9,17.9,1002.0,6.8,3.7,865.4,9.0,32.68373814715278,45.16726747214552,2.5939238744116793,10.007231930890468,0.6391654028239394,18.60819306599794,0.5101024288829167,19.0737923579387,17.744069312361997,30.15335751921118,65.94325260105748,1.515973696705404,8.81903264171557,0.8342311610604294,30.186106457813775,21.828256219719634,29.089577838114423,22.92678317068561,56.72692238545897,1.1371155805302149,10.160264277581351,0.38663252370569445,32.37540586638148,0.45937026058977276,10.947654323264079,8.888872037652526,2025,6,13,12,4,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0
2025-06-13 13:00:00,100.9,104.8,62.7,27.68,0.0,0.0,5.8,100.0,14.3,1003.0,50.0,3.7,913.7,9.0,32.799604482531315,45.274180499790255,2.593818541379517,10.017238568945887,0.6396710013783184,18.67819739917301,0.5107976268951878,19.070737700005992,17.7552346137712,30.2686971894289,66.08667405764966,1.5153838317252952,8.830977407562774,0.8362114220650806,30.17407742554084,21.845214837897764,29.23068196799904,23.04686282735063,56.93021513753221,1.1381057110325403,10.151774435189068,0.3864007910349374,32.33805477317673,0.4612662551686942,10.983151555102774,8.895613351710912,2025,6,13,13,4,-0.2588190451025208,-0.9659258262890683,1.2246467991473532e-16,-1.0
2025-06-13 14:00:00,100.5,104.1,64.8,31.44,0.0,0.0,4.7,150.0,11.4,997.3,61.4,3.7,820.0,8.0,32.91547081790984,45.38109352743499,2.5937132083473546,10.027245207001306,0.6401765999326975,18.748201732348072,0.5114928249074591,19.067683042073288,17.766399915180404,30.384036859646617,66.23009551424185,1.5147939667451862,8.84292217340998,0.8381916830697318,30.162048393267906,21.862173456075897,29.371786097883657,23.166942484015653,57.133507889605454,1.139095841534866,10.143284592796787,0.38616905836418036,32.300703679971974,0.4631622497476156,11.018648786941469,8.9023546657693,2025,6,13,14,4,-0.4999999999999997,-0.8660254037844388,1.2246467991473532e-16,-1.0
2025-06-13 15:00:00,100.5,103.8,64.5,31.12,0.0,0.0,9.2,130.0,11.2,1001.0,70.0,3.7,725.0,7.0,33.031337153288376,45.48800655507973,2.5936078753151923,10.037251845056723,0.6406821984870765,18.818206065523135,0.5121880229197302,19.06462838414058,17.777565216589608,30.499376529864335,66.37351697083405,1.5142041017650774,8.854866939257183,0.8401719440743831,30.15001936099497,21.879132074254027,29.512890227768274,23.287022140680676,57.33680064167869,1.1400859720371916,10.134794750404506,0.3859373256934233,32.263352586767226,0.465058244326537,11.054146018780164,8.909095979827686,2025,6,13,15,4,-0.7071067811865471,-0.7071067811865479,1.2246467991473532e-16,-1.0
